lat,lon,name,location_type,pm_2.5,10min_avg,1hour_avg,1day_avg,1week_avg
45.226838,-76.195901,Trail,outside,164.06,201.36,304.76,322.91,122.74
38.400514,-122.330647,Realm Cellars Tank Room 4,inside,279.32,269.84,282.95,188.56,86.27
40.710419,-74.084461,Innovation High School,outside,13.57,90.21,193.91,22.45,3.37
33.082573,-116.598374,Wellness Center,inside,2.6,39.36,191.52,35.28,6.93
38.033592,-122.262085,Rodeo Vista(1),inside,244.19,376.38,188.51,15.07,10.55
37.524426,-122.335319,Gaspard @ Charing,inside,242.7,285.5,178.49,12.7,6.01
45.603447,-122.481064,East Vancouver,inside,195.8,194.1,175.85,45.51,49.67
32.723864,-116.364484,Boys & Girls Club,inside,11.78,32.5,174.92,20.93,4.53
42.047925,-91.545571,Prairie Ridge,inside,223.04,226.87,159.71,57.74,71.18
36.871248,-121.337901,Christensen Ranch Airport,inside,154.37,153.64,153.46,150.7,149.39
38.557,-121.438776,Building G,inside,149.35,148.58,144.53,110.52,36.09
28.27285,-82.684627,Orchid Lake,outside,3.29,34.79,136.55,22.26,3.38
40.595523,-111.899302,Inside,inside,234.42,309.96,131.34,7.91,3.17
37.525559,-122.345845,2233 Bunker Hill,inside,348.85,339.76,126.49,10.93,16.49
34.06962,-116.38875,MDAQMD-JTNP_BR,outside,1.64,86.67,124.47,9.56,1.4
34.06755,-118.4412,Natalie’s Home,inside,52.21,265.09,119.68,18.2,14.23
37.905494,-122.551374,Old Firehouse School,outside,9.11,135.87,118.03,11.88,1.77
33.978291,-118.029324,Ball Hall,inside,52.54,58.6,116.71,46.11,22.44
37.826513,-122.205094,N38design,outside,3.58,32.8,116.16,11.39,1.68
43.476961,-110.763033,Near Center for the Arts Inside,inside,69.06,82.35,114.04,89.33,27.07
42.130782,-72.793206,Westfield State University - Wilson Hall Outside,outside,0.85,43.74,111.2,9.15,1.34
37.233981,-121.906134,Noddin Indoor,inside,204.62,187.34,107.93,42.47,15.84
37.775456,-122.289808,Home,inside,14.6,26.13,107.9,15.54,6.49
39.519237,-119.996183,House on the River,inside,91.12,94.73,106.4,52.14,48.14
38.275088,-122.049641,EnVee,inside,39.5,69.03,104.81,14.65,7.31
37.992697,-121.367984,Riverbank I,inside,107.24,129.63,102.82,21.04,7.56
37.882851,-122.291258,Luna Productions,inside,166.88,166.92,101.75,56.93,41.85
37.742814,-122.503712,45th and Taraval,inside,28.73,59.4,99.34,77.9,86.22
38.71954,-121.097453,0utrigger 1,inside,47.05,73.69,98.43,17.07,11.35
37.715553,-121.943597,NikoGotAir,inside,90.81,125.49,97.35,31.72,15.91
37.74929,-122.441548,House of pain,inside,81.3,96.04,92.8,36.32,23.33
37.376565,-122.086961,Home,inside,166.9,242.97,91.9,10.02,10.76
34.899373,-80.970346,Kennington Home,inside,79.12,85.72,91.52,52.46,38.6
37.488034,-122.27111,Hewitt,inside,237.46,225.89,90.02,8.1,8.04
42.19704,-86.30911,Coloma,outside,1.3,22.71,89.12,9.87,2.28
37.737107,-122.465512,St Francis Wood,outside,112.27,108.08,88.87,73.49,65.38
34.441653,-119.695493,Franceschi Rd,outside,356.46,253.89,86.64,26.84,25.64
32.739327,-117.225937,CAICE Point Loma HS,outside,15.02,28.57,84.67,7.13,1.05
37.594852,-120.870071,Hughson,inside,129.57,149.7,83.41,8.19,5.96
40.437737,-111.899856,JPD house,inside,409.84,317.83,81.97,5.52,5.35
47.709911,-122.357909,Oakley,inside,7.76,30.92,78.11,13.78,11.04
38.913278,-76.910668,CheverlyAQM4_3,outside,5.47,18.14,77.92,13.78,2.42
34.19356,-119.2099,CCA Jib and Oarfish,outside,87.46,185.92,77.32,15.53,20.16
39.265385,-123.595298,Comptche School,outside,154.64,147.15,76.49,17.84,11.53
38.541334,-120.793404,Rombauer Sierra Foothills,outside,3.06,10.12,76.23,15.22,2.64
43.8297,-116.520365,South Slope  Emmett,outside,0,10.1,75.4,15.5,2.66
38.381978,-122.865254,Tilton Indoor,inside,40.96,45.01,74.84,18.46,8.94
34.169691,-118.978489,Rabbit House TV,inside,248.78,279.19,73.54,9.3,6.03
37.319976,-119.623204,Oakhurst 1,outside,27.24,67.55,72.88,24.02,20.73
37.358339,-119.796741,Riverview Inside,inside,59.49,110.75,71.04,9.36,6.37
