lat,lon,name,location_type,pm_2.5,10min_avg,1hour_avg,1day_avg,1week_avg
31.570236,74.412914,PU-ZA-8-NA,outside,297.8,314.16,422.56,336.39,309.3
31.444512,74.309754,PU-ZA-4-SS,outside,536.37,537.99,545.22,321.27,305.51
31.4859,74.3735,PU-ZA-10-VC,outside,526.41,513.9,501.3,322.52,301.04
31.501559,74.306762,PU-ZA-1-RA,outside,472.8,467.78,451.38,332.6,287.16
31.468374,74.301385,PU-ZA-3-ZI,outside,473.12,474.0,458.62,296.33,269.44
31.480284,74.404699,PU-ZA-5-ZZ,outside,482.57,480.92,476.74,337.07,268.01
26.612166,80.203365,SAMOSA_0148,outside,387.0,374.12,305.75,258.09,266.31
25.617332,82.853539,SAMOSA_0083,outside,422.54,394.94,363.97,273.21,251.37
25.746949,82.53803,SAMOSA_0094,outside,360.02,357.56,344.16,255.81,240.9
27.808413,81.405747,SAMOSA_0067,outside,425.63,380.99,347.61,272.07,239.13
27.761785,80.019349,SAMOSA_0126,outside,633.86,389.16,298.6,241.01,234.3
25.326006,83.002322,SAMOSA_0096,outside,208.26,205.51,221.5,247.35,232.21
28.544682,77.191111,NASA_AQCS_183,outside,100.33,106.77,118.73,181.37,227.73
28.544724,77.191879,NASA_AQCS_172,outside,107.88,112.88,125.73,193.13,226.58
28.546849,77.191417,NASA_AQCS_194,outside,216.22,201.33,195.76,177.24,225.89
26.377998,79.951971,SAMOSA_0063,outside,232.25,239.4,222.37,185.91,220.89
28.546435,77.191359,SAMOSA_0074,outside,140.39,136.15,169.84,205.83,218.39
26.473719,80.354418,SAMOSA_0135,outside,336.36,317.12,289.98,204.91,217.45
28.548892,77.19092,SAMOSA_0011,outside,130.65,133.72,171.68,204.31,214.36
28.545833,77.192025,SAMOSA_0168,outside,197.96,188.45,181.23,168.19,213.69
28.546497,77.19162,UT128,outside,146.24,146.06,160.19,166.4,213.18
27.15646,80.342325,SAMOSA_0121,outside,188.57,173.69,178.25,189.92,212.49
28.547317,77.192363,SAMOSA_0064,outside,137.82,131.91,164.95,198.53,209.13
